cellID	f_l1_College & University	f_l1_Food	f_l1_Residence	f_l1_Travel & Transport	f_l1_Outdoors & Recreation	f_l1_Arts & Entertainment	f_l1_Shop & Service	f_l1_Nightlife Spot	f_l1_Professional & Other Places	f_l1_Event	t_predominant
4382	0	0	0	0	1	0	1	0	0	0	OpenSpace
4679	1	5	14	2	2	1	10	1	1	0	Mixed
5090	0	0	1	0	0	0	0	0	0	0	OpenSpace
2538	0	0	2	1	0	0	1	0	0	0	Residential
3962	1	1	3	0	1	2	4	1	5	0	Mixed
3275	0	0	0	0	1	1	0	0	0	0	OpenSpace
2138	0	17	1	0	0	1	5	2	2	0	Mixed
1458	0	6	0	2	3	3	7	3	6	0	Other
2199	0	11	4	2	3	0	6	3	4	0	Mixed
492	0	5	1	1	1	1	13	1	1	0	Residential
1325	0	4	0	1	0	1	15	0	12	0	Commercial
5509	0	3	2	1	0	0	2	0	0	0	Mixed
4436	1	0	0	1	1	0	0	0	0	0	OpenSpace
4153	0	20	1	2	1	1	9	0	1	0	Mixed
2234	0	4	7	4	0	1	11	2	2	0	Mixed
2065	9	3	0	0	0	1	4	0	14	0	Commercial
5442	0	0	0	1	0	0	0	0	0	0	Residential
5942	1	4	1	1	0	0	2	0	2	0	Mixed
1487	0	5	0	1	1	0	3	0	5	0	Other
825	0	4	4	0	0	1	0	4	1	0	Residential
2121	0	0	2	1	2	0	0	0	0	0	Mixed
3834	0	0	1	0	7	0	0	0	1	0	OpenSpace
1784	0	8	1	2	0	6	3	4	3	0	Commercial
1480	0	0	0	1	0	0	0	0	0	0	Other
495	0	5	2	1	0	1	6	0	11	0	Mixed
853	0	0	2	1	2	1	0	1	2	0	Mixed
4291	0	3	5	0	0	2	2	1	0	0	Residential
1149	0	4	0	0	1	1	14	1	10	0	Mixed
2264	1	4	2	0	0	0	7	1	10	0	Commercial
1409	0	2	2	0	2	0	6	0	0	0	Mixed
4782	0	8	6	2	4	0	4	3	2	0	Mixed
5848	1	7	0	1	0	0	4	0	0	0	Residential
2560	1	3	7	2	2	0	11	0	5	0	Residential
2565	0	2	2	0	3	0	3	1	2	0	Residential
4892	0	2	5	1	2	1	0	0	2	0	Residential
2619	0	1	4	1	2	1	3	0	1	0	Residential
2224	0	0	2	0	1	1	0	1	2	0	Residential
4461	0	0	5	2	0	0	1	1	4	0	Residential
2839	0	0	2	1	2	0	0	2	2	0	Residential
3409	16	2	0	0	1	2	0	1	3	0	Other
4219	0	13	7	0	0	0	7	0	1	0	Mixed
1821	0	0	3	0	1	0	0	1	4	0	Residential
2369	0	1	0	1	1	0	5	0	10	0	Commercial
2326	0	0	1	0	0	0	0	0	5	0	Residential
4406	1	0	0	0	0	1	0	0	0	0	Other
1287	0	0	0	0	0	1	0	0	1	0	Other
5511	0	8	4	0	0	1	10	0	1	0	Commercial
3151	0	0	6	0	0	4	2	0	4	0	Residential
3188	1	0	2	0	0	1	4	0	3	0	Residential
4195	0	3	1	2	0	0	7	1	3	0	Mixed
5577	0	1	2	0	0	0	2	0	4	0	Other
2276	0	3	0	3	2	0	0	0	10	0	Commercial
1051	0	12	2	2	2	1	0	5	4	0	Mixed
3792	0	0	4	1	6	0	4	1	5	0	Mixed
1985	0	13	0	2	3	9	7	4	4	0	Commercial
2060	0	4	0	1	2	1	2	4	14	0	Commercial
1242	0	3	0	2	2	1	4	0	10	0	Commercial
2903	1	3	3	1	0	0	1	0	6	0	Commercial
2050	0	9	7	4	2	2	4	3	9	0	Residential
1939	0	7	1	3	1	6	12	3	1	0	Mixed
3568	1	12	7	3	1	0	3	1	0	0	Residential
604	0	1	0	1	0	12	0	4	7	1	Commercial
3673	0	0	0	1	0	0	0	0	0	0	Other
2126	0	0	4	1	0	1	5	0	6	0	Mixed
3282	0	1	1	0	3	0	0	0	0	0	OpenSpace
4472	0	1	4	3	3	3	6	1	3	0	Residential
2726	0	0	1	0	0	1	1	0	3	0	Residential
3166	0	1	0	0	5	3	0	0	0	1	OpenSpace
5299	0	7	4	5	0	0	14	0	3	0	Mixed
3662	19	3	0	0	2	0	0	0	1	0	Other
5099	0	1	2	1	4	1	0	0	2	0	Residential
3217	0	0	0	0	2	0	0	0	0	0	Residential
313	0	3	0	0	3	0	0	0	0	0	Transportation
3023	0	8	3	5	1	0	3	1	2	0	Commercial
5161	0	1	0	0	0	0	1	0	0	0	Residential
2286	0	0	3	2	0	1	0	1	4	0	OpenSpace
2066	1	6	1	5	0	1	10	0	6	0	Commercial
3040	0	0	0	0	2	1	0	0	1	0	OpenSpace
5561	5	5	2	0	0	0	8	0	1	0	Mixed
363	0	0	2	2	1	0	3	0	2	0	Residential
5523	0	0	0	0	0	1	0	0	0	0	OpenSpace
2035	0	7	1	3	2	1	5	4	5	0	Mixed
5307	0	0	4	0	0	0	0	0	1	0	Residential
1746	0	0	1	0	0	0	0	0	0	0	Mixed
906	0	4	1	0	0	0	4	1	1	0	Residential
4837	1	2	1	0	0	1	0	0	1	0	Residential
3402	0	1	1	0	1	0	4	1	0	0	Mixed
2955	0	3	2	3	0	0	2	0	0	0	Mixed
2960	0	0	1	0	1	0	0	1	1	0	Residential
1382	0	0	2	1	0	0	0	0	0	0	Other
5251	0	2	0	1	1	1	8	0	2	0	Mixed
1060	0	7	2	0	0	2	2	1	11	0	Other
3064	0	4	1	2	1	0	3	0	2	0	Residential
816	0	5	4	1	4	0	3	0	1	0	Residential
3831	0	1	2	2	1	0	6	1	1	0	Residential
4365	0	10	5	1	1	0	3	0	3	0	Mixed
2007	0	0	4	2	0	0	2	0	2	0	Residential
268	0	10	1	1	2	0	4	1	9	0	Commercial
2759	0	0	1	1	1	0	1	0	7	0	Other
3013	0	1	3	4	0	0	1	0	18	0	Other
769	0	0	0	2	0	1	1	0	1	0	Other
5612	0	0	0	0	0	0	2	0	0	0	Residential
3651	0	0	4	1	2	0	0	0	5	0	Residential
5517	0	4	0	2	1	1	3	0	1	0	Other
1466	0	1	2	1	4	0	3	0	0	0	Mixed
3192	1	3	1	0	0	0	8	0	3	0	Residential
1140	0	0	0	0	0	0	0	0	2	0	Residential
5462	1	6	1	14	0	1	8	0	3	0	Other
491	0	6	2	5	4	1	10	0	4	0	Mixed
4056	0	1	2	1	4	0	0	0	1	0	Mixed
5558	0	1	0	0	0	0	2	0	1	0	Mixed
1059	0	2	0	1	0	1	0	0	6	0	Commercial
4407	14	1	0	1	2	0	0	0	0	0	Other
5918	0	0	0	0	1	0	0	0	0	0	OpenSpace
354	0	3	5	1	5	1	0	1	5	0	Residential
449	0	2	1	1	0	1	2	1	3	0	Other
4810	0	0	0	1	0	0	0	0	1	0	Residential
1405	0	8	0	2	0	0	10	0	10	0	Mixed
4497	1	0	2	1	0	0	2	0	2	0	Residential
6389	0	4	0	1	0	3	1	1	3	0	Commercial
3521	0	9	5	2	1	0	9	1	7	0	Residential
2415	0	0	1	1	0	1	0	0	1	0	OpenSpace
1555	0	0	0	0	0	1	0	0	3	0	Commercial
1254	6	7	0	0	2	1	10	0	4	0	Commercial
3010	1	10	2	5	2	0	1	2	4	0	Residential
1922	0	0	0	1	1	1	1	0	0	0	OpenSpace
5405	0	2	0	0	0	0	5	0	2	0	Mixed
2053	0	0	0	0	1	0	0	0	0	0	OpenSpace
5209	0	0	0	0	4	0	0	0	0	0	Residential
3055	0	1	0	1	3	0	0	1	1	0	OpenSpace
1972	0	7	0	3	2	0	2	2	12	0	Commercial
520	0	4	0	1	1	0	6	2	3	0	Commercial
2912	0	4	0	7	1	0	4	4	13	0	Transportation
4755	0	0	1	0	0	0	0	0	3	0	Other
2396	0	4	1	2	1	0	18	1	0	0	Residential
1964	0	5	0	1	2	1	0	0	10	0	Commercial
4086	0	0	0	1	4	1	0	0	0	0	OpenSpace
1791	0	5	0	0	2	0	9	0	13	0	Commercial
6352	0	0	0	0	0	0	0	0	1	0	Residential
4824	0	0	0	0	2	2	0	1	0	0	Other
4100	1	1	1	1	0	0	3	1	1	0	Residential
1519	0	5	2	0	2	1	6	0	7	0	Mixed
415	1	3	0	1	1	1	8	2	10	0	Commercial
3949	0	2	0	0	0	0	0	0	0	0	Transportation
2531	0	0	3	0	0	0	0	0	1	0	Residential
6031	0	0	0	0	1	0	0	0	0	0	OpenSpace
5467	0	0	2	0	1	0	0	0	1	0	Other
3354	0	0	1	0	0	0	3	0	8	1	Commercial
133	0	1	0	0	5	0	0	3	0	0	Other
3136	0	2	3	1	2	0	2	0	10	0	Commercial
5992	0	0	0	0	0	0	0	0	1	0	Other
585	0	14	0	0	1	0	14	3	1	0	Residential
4513	1	0	0	0	1	0	0	0	0	0	Other
6377	0	0	0	0	1	0	0	0	0	0	OpenSpace
2227	1	6	2	9	3	4	12	2	6	0	Transportation
3703	0	2	2	4	1	0	4	0	7	0	Other
3092	0	2	0	0	0	0	1	0	0	0	OpenSpace
3403	0	0	0	0	2	1	0	0	4	0	Residential
1897	0	1	2	1	0	4	1	3	9	0	Residential
1781	0	7	0	0	3	3	5	0	3	0	OpenSpace
1809	0	7	0	4	1	1	4	2	1	0	Mixed
1298	0	0	0	0	2	0	0	0	0	0	Other
1371	1	7	0	1	4	0	1	1	6	0	Other
1771	2	7	2	1	2	0	1	0	6	0	Mixed
736	0	11	4	2	4	1	7	1	1	0	Mixed
1320	0	18	1	0	0	1	12	2	0	0	Mixed
2877	1	5	4	2	3	0	2	1	3	0	Residential
503	2	1	0	0	0	2	2	0	10	0	Commercial
111	0	1	0	0	0	1	0	0	0	0	Other
941	1	0	0	1	1	0	0	0	0	0	Transportation
4356	0	16	2	1	0	2	12	1	0	0	Mixed
4814	0	1	1	0	0	0	3	0	1	0	Residential
5926	2	0	0	0	1	0	0	0	2	0	Other
6417	0	0	0	2	0	0	0	0	0	0	OpenSpace
1727	0	0	2	1	0	1	0	0	3	0	Residential
5192	0	5	1	3	2	0	6	0	8	0	Other
3288	0	2	6	0	1	0	0	2	2	0	Residential
610	0	0	0	9	2	0	0	0	0	0	Other
4583	0	5	3	4	1	0	12	0	4	0	Mixed
